"order_item_id","order_id","product_id","quantity","unit_price_at_order","discount_pct"
1,1,17,1,159.81,0.00
2,1,1793,1,705.59,0.00
3,2,1616,1,844.97,0.00
4,2,1657,1,271.95,10.00
5,3,1972,1,128.27,0.00
6,3,1422,3,320.48,0.00
7,4,260,1,56.94,20.00
8,5,1161,1,277.87,0.00
10,5,596,1,60.08,10.00
11,6,1909,1,78.02,0.00
12,6,306,3,243.21,0.00
13,7,772,1,103.96,20.00
14,7,1567,3,98.85,0.00
15,7,1004,1,374.21,0.00
16,8,1915,1,73.26,15.00
17,8,1787,1,126.70,0.00
18,9,1769,1,91.78,0.00
19,9,1715,4,86.98,0.00
20,10,1358,2,359.55,10.00
21,10,571,1,318.52,0.00
22,10,987,1,344.42,0.00
23,10,330,5,160.48,0.00
24,11,1036,1,151.50,0.00
25,12,594,1,132.71,15.00
26,13,1536,1,162.63,0.00
27,13,601,1,398.41,0.00
28,14,777,1,200.39,0.00
29,14,21,5,273.84,15.00
30,14,1723,1,405.51,0.00
31,14,1482,2,31.10,0.00
32,15,1135,1,110.18,0.00
33,15,997,1,225.92,0.00
34,16,365,2,1246.18,0.00
35,17,1012,1,509.70,10.00
36,17,1966,1,248.61,10.00
37,18,497,1,178.21,15.00
38,19,1436,1,379.21,0.00
39,19,753,1,865.03,0.00
40,19,167,1,684.99,0.00
41,20,422,3,149.58,0.00
42,20,1736,1,158.79,15.00
43,20,1366,1,395.22,0.00
44,20,97,1,236.72,0.00
45,21,666,5,201.13,0.00
47,22,1160,2,16.20,0.00
48,22,212,3,230.73,0.00
49,22,173,1,91.95,10.00
50,23,817,1,2378.39,10.00
51,23,1762,1,74.13,0.00
52,24,662,1,426.40,0.00
53,24,1349,1,158.71,15.00
54,25,138,1,81.31,0.00
55,25,690,1,360.23,30.00
56,25,1035,1,183.44,15.00
57,25,329,1,259.83,30.00
58,26,1492,5,366.39,0.00
59,27,386,1,425.14,0.00
62,27,1762,2,74.13,20.00
63,28,930,1,149.44,15.00
64,29,1457,2,198.60,20.00
65,29,1335,2,310.85,10.00
66,30,496,2,349.51,15.00
67,30,1331,1,0.00,0.00
68,30,1916,1,1047.15,10.00
69,30,264,1,79.96,0.00
70,31,758,2,512.44,20.00
71,32,1660,1,251.18,0.00
72,32,504,1,320.53,0.00
73,32,768,1,850.09,0.00
74,32,1557,1,218.50,0.00
75,33,1535,1,691.14,0.00
76,34,1295,1,248.78,0.00
77,35,1529,5,381.74,0.00
78,35,482,1,227.72,20.00
79,36,439,1,288.35,0.00
80,36,1860,1,271.25,0.00
81,37,864,2,480.78,0.00
82,38,403,4,352.84,50.00
83,38,613,2,694.06,0.00
84,38,1881,1,473.81,0.00
85,38,183,3,21.84,0.00
86,39,666,3,201.13,0.00
87,40,107,1,221.89,10.00
88,41,668,1,1203.65,20.00
89,41,56,1,333.20,0.00
90,42,264,1,79.96,0.00
92,42,1376,1,396.31,0.00
93,43,1805,1,95.08,0.00
94,44,466,3,296.81,0.00
95,44,1560,1,109.74,30.00
96,44,1981,1,7095.62,50.00
97,45,1213,2,474.32,0.00
98,46,1897,5,153.92,30.00
99,47,1676,4,1448.44,0.00
100,47,567,1,358.29,0.00
101,48,534,2,336.91,0.00
102,49,1043,1,117.74,0.00
103,50,1440,1,267.10,15.00
104,50,114,1,387.50,0.00
105,51,577,1,146.12,0.00
106,52,932,1,26.89,20.00
107,52,73,1,589.14,15.00
108,53,1307,1,150.87,0.00
109,54,440,1,784.42,50.00
110,55,341,1,141.99,0.00
111,56,1454,1,4924.63,20.00
112,57,1178,2,333.75,0.00
113,58,517,1,371.19,0.00
114,58,1718,1,271.71,0.00
115,59,1665,2,186.56,0.00
116,60,646,1,529.82,20.00
117,60,139,1,265.19,0.00
118,60,615,5,383.38,0.00
119,61,1903,1,2014.57,0.00
120,61,114,4,387.50,15.00
121,62,1612,5,311.13,0.00
122,62,1219,1,1527.65,10.00
123,62,413,1,2255.72,0.00
124,63,774,3,0.00,0.00
125,63,576,2,251.53,0.00
126,64,1756,2,673.23,30.00
127,65,1538,1,487.91,0.00
128,66,1204,1,102.42,0.00
129,66,1152,1,0.00,0.00
130,66,1850,1,416.74,20.00
131,67,484,4,177.66,0.00
132,67,1558,3,46.64,10.00
133,67,1111,1,225.87,0.00
134,67,649,1,1992.49,10.00
135,68,812,2,195.17,0.00
136,68,332,1,38.09,0.00
137,68,768,4,850.09,10.00
138,69,767,1,83.94,10.00
139,70,1052,2,398.60,0.00
140,70,1008,1,152.94,0.00
141,71,1906,4,24.95,0.00
142,71,107,1,221.89,50.00
144,73,242,1,40.83,0.00
145,74,1421,3,390.56,0.00
146,74,612,1,196.27,20.00
147,74,1491,1,36.31,0.00
148,75,62,1,75.53,0.00
150,76,1500,1,150.71,0.00
151,76,1191,1,489.59,10.00
152,76,482,1,227.72,0.00
153,77,996,1,307.10,0.00
154,77,1056,5,815.31,0.00
155,77,1646,1,204.73,0.00
156,78,637,1,98.29,10.00
157,78,1480,2,310.64,0.00
158,78,1956,2,783.72,0.00
159,79,128,1,91.83,0.00
160,79,506,1,70.55,10.00
161,80,1643,1,778.76,15.00
163,81,283,1,393.38,0.00
164,81,275,1,251.74,20.00
165,81,1587,1,120.08,0.00
166,82,585,1,147.41,10.00
167,83,1583,1,2100.81,20.00
168,84,1450,1,611.47,10.00
169,84,119,3,775.25,0.00
170,84,1469,1,118.07,20.00
171,84,1545,1,574.57,20.00
172,85,1933,1,326.44,0.00
173,85,1930,1,183.35,0.00
174,86,1755,1,253.68,0.00
175,86,1049,1,840.42,15.00
176,87,294,2,130.48,15.00
177,87,1917,1,59.13,0.00
178,88,571,2,318.52,0.00
