"order_id","customer_id","order_date","order_status","payment_method","shipping_cost","total_amount","marketing_channel"
1,387,2026-03-13,Processing,BLIK,0.00,865.40,Meta Ads
2,4446,2025-09-03,Delivered,Przelew,9.99,1351.57,Newsletter
3,3945,2025-08-12,Delivered,Za pobraniem,9.99,1099.70,Newsletter
5,4757,2026-05-03,Delivered,Karta,14.99,1814.59,Google Ads
6,2750,2026-03-26,Delivered,BLIK,0.00,1359.41,Influencer
7,2538,2025-03-09,Delivered,BLIK,9.99,1019.66,Organic
8,849,2025-10-17,Cancelled,Karta,9.99,1550.71,Meta Ads
9,4543,2024-12-12,Delivered,BLIK,12.99,452.69,Google Ads
10,3890,2025-07-15,Delivered,BLIK,9.99,2784.52,Meta Ads
11,1764,2025-08-01,Delivered,BLIK,0.00,232.81,Newsletter
12,4154,2026-04-26,Delivered,Przelew,9.99,254.50,Referral
13,4327,2026-05-04,Delivered,BLIK,12.99,574.03,Google Ads
14,2499,2025-06-16,Delivered,BLIK,0.00,1831.92,Newsletter
15,2954,2024-09-28,Shipped,Karta,0.00,336.10,Meta Ads
16,4080,2026-04-27,Delivered,Karta,9.99,2502.35,Newsletter
17,2083,2024-12-05,Delivered,BLIK,0.00,682.48,Organic
18,690,2025-11-30,Delivered,Karta,0.00,151.48,Meta Ads
19,739,2024-09-08,Delivered,BLIK,12.99,3997.15,Meta Ads
20,103,2025-05-31,Delivered,Karta,12.99,1228.64,Google Ads
21,2444,2026-08-06,Delivered,BLIK,9.99,1096.11,Meta Ads
22,3777,2024-11-02,Returned,PayPo,12.99,820.33,Organic
23,180,2025-06-04,Delivered,Za pobraniem,9.99,2224.67,Google Ads
24,3411,2025-03-23,Delivered,Karta,14.99,576.29,Meta Ads
25,805,2026-05-08,Shipped,Karta,0.00,962.78,Meta Ads
26,1793,2026-05-28,Delivered,BLIK,12.99,1844.94,Meta Ads
27,167,2025-01-07,Delivered,Karta,0.00,784.39,Meta Ads
28,1397,2024-10-13,Delivered,Karta,12.99,140.01,Google Ads
29,2782,2025-11-24,Delivered,PayPo,9.99,887.28,Organic
30,354,2025-04-14,Delivered,Karta,0.00,1925.23,Google Ads
31,1433,2025-12-03,Delivered,BLIK,14.99,834.89,Newsletter
33,4829,2024-11-23,Delivered,PayPo,14.99,1739.29,Meta Ads
34,495,2025-12-22,Delivered,BLIK,9.99,657.63,Meta Ads
36,2694,2026-04-26,Returned,BLIK,14.99,788.65,Influencer
37,4455,2024-10-02,Delivered,BLIK,14.99,1328.08,Organic
38,4053,2024-12-18,Delivered,Karta,14.99,3825.90,Organic
39,4847,2026-08-04,Returned,Karta,0.00,603.39,Meta Ads
40,155,2025-06-28,Returned,BLIK,9.99,2347.94,Meta Ads
41,963,2025-12-16,Delivered,PayPo,0.00,1296.12,Meta Ads
42,1547,2024-12-19,Delivered,Przelew,9.99,1173.61,Newsletter
44,3291,2026-01-15,Returned,PayPo,0.00,5381.24,Organic
45,2933,2025-03-23,Delivered,Za pobraniem,0.00,948.64,Referral
46,736,2026-04-22,Delivered,PayPo,0.00,538.72,Google Ads
48,3400,2025-05-28,Delivered,BLIK,14.99,688.81,Newsletter
49,2267,2025-10-12,Delivered,BLIK,9.99,127.73,Referral
50,4864,2025-10-24,Delivered,BLIK,12.99,910.19,Organic
51,4941,2024-12-12,Delivered,Przelew,0.00,275.75,Google Ads
52,1681,2025-05-21,Delivered,BLIK,9.99,2319.29,Organic
53,3428,2025-04-11,Delivered,Przelew,0.00,150.87,Meta Ads
54,4881,2025-05-02,Delivered,BLIK,9.99,402.20,Newsletter
55,3320,2026-02-16,Delivered,Za pobraniem,0.00,141.99,Newsletter
56,2407,2025-08-06,Delivered,BLIK,9.99,4076.46,Meta Ads
57,1749,2026-06-29,Shipped,Karta,9.99,2484.67,Meta Ads
58,2268,2025-03-11,Delivered,Przelew,0.00,1296.15,Newsletter
59,409,2025-06-04,Processing,PayPo,0.00,373.12,Organic
61,3737,2025-10-30,Delivered,Karta,12.99,3597.07,Organic
62,2763,2025-10-30,Returned,PayPo,0.00,5186.26,Google Ads
63,2250,2024-10-10,Returned,Karta,0.00,503.06,Meta Ads
