"product_id","product_name","category","brand","unit_price","unit_cost","launch_date","is_active","wymaga_weryfikacji"
252,W końcu Moda Eco,Moda damska,Lumia,89.71,47.70,2024-12-21,true,false
255,Składać Moda Basic,Moda damska,Primo Style,43.71,20.93,2026-07-11,true,false
258,Dziewięć Moda Premium,Moda damska,Domora,63.15,35.43,2026-02-28,true,false
263,Jeszcze Moda Basic,Moda damska,Vesto,94.89,54.11,2026-07-13,true,false
272,Sytuacja Moda Classic,Moda damska,Aurea,279.51,158.68,2024-12-11,true,false
284,Przypominać Moda Premium,Moda damska,Vantex,45.62,25.41,2026-06-21,true,false
292,Lekki Moda Pro,Moda damska,UrbanLine,142.93,84.42,2025-04-09,true,false
296,Potrzeba Moda Eco,Moda damska,Bellure,217.69,96.58,2025-11-14,true,false
299,Płyta Moda Eco,Moda damska,Primo Style,286.82,126.47,2026-03-06,true,false
303,Łączyć Moda Classic,Moda damska,Nordly,381.09,174.40,2025-10-30,true,false
307,Mąka Moda Pro,Moda damska,Domora,118.64,72.05,2024-09-27,false,false
308,Gęsty Moda Eco,Moda damska,GripPro,290.07,162.26,2025-03-18,true,false
314,Szkoda Moda Basic,Moda damska,Lumia,233.22,130.47,2026-03-02,true,false
319,Pisanie Moda Basic,Moda damska,Vesto,315.19,162.11,2025-11-18,true,false
320,Praca Moda Eco,Moda damska,Nordly,353.52,132.95,2026-08-06,false,false
329,Informacja Moda Eco,Moda damska,Nordly,259.83,164.13,2025-09-17,false,false
333,Poduszka Moda Basic,Moda damska,UrbanLine,357.16,187.10,2026-02-17,true,false
335,Pokryć Moda Basic,Moda damska,Kidzo,332.70,166.56,2025-09-03,true,false
337,Szanowny Moda Classic,Moda damska,Vesto,71.94,37.74,2024-11-13,true,false
342,Możliwy Moda Classic,Moda damska,Tessera,68.18,32.96,2024-12-06,true,false
344,Oko Moda Eco,Moda damska,Bellure,335.89,164.28,2025-04-02,true,false
348,Pochodzenie Moda Pro,Moda damska,Kidzo,290.09,174.07,2025-12-11,true,false
349,Płyn Moda Basic,Moda damska,Klarra,261.70,132.04,2026-05-05,true,false
351,Czyli Moda Premium,Moda damska,UrbanLine,336.29,176.24,2026-01-10,true,false
353,Śmiech Moda Classic,Moda damska,Ecolen,338.57,180.86,2025-03-14,true,false
360,Dziki Moda Pro,Moda damska,Aurea,147.35,85.26,2025-12-26,true,false
371,Wykonać Moda Pro,Moda damska,Ecolen,194.64,105.49,2025-11-18,true,false
374,Morski Moda Classic,Moda damska,Klarra,115.72,61.97,2024-09-26,true,false
375,Ziemniak Moda Basic,Moda damska,Vantex,273.60,168.68,2025-07-17,true,false
378,Go Moda Pro,Moda damska,Kidzo,312.97,187.96,2025-11-14,true,false
381,Pora Moda Eco,Moda damska,Vantex,285.80,130.02,2025-08-14,true,false
389,Przestępstwo Moda Basic,Moda damska,Ecolen,90.30,64.85,2025-12-11,true,false
398,Sześćdziesiąt Moda Premium,Moda damska,UrbanLine,296.07,170.26,2026-03-04,true,false
399,Literatura Moda Premium,Moda damska,MaxFit,161.20,89.95,2026-03-23,true,false
401,Ile Moda Classic,Moda damska,Kidzo,228.50,119.76,2024-10-21,true,false
403,Wspaniały Moda Classic,Moda damska,UrbanLine,352.84,168.58,2026-03-23,true,false
404,Wpaść Moda Premium,Moda damska,Vesto,276.13,141.64,2025-08-08,true,false
415,Powstać Moda Classic,Moda damska,Kidzo,263.27,170.17,2024-11-17,true,false
420,Szwedzki Moda Pro,Moda damska,Klarra,97.87,55.44,2025-05-01,true,false
426,Pójść Moda Pro,Moda damska,Ecolen,261.17,166.20,2025-12-30,true,false
427,Trzydzieści Moda Premium,Moda damska,Domora,99.14,60.41,2025-07-11,true,false
435,Lęk Moda Classic,Moda damska,Nordly,214.98,105.13,2024-09-30,true,false
437,Polski Moda Eco,Moda damska,Nordly,111.67,63.58,2025-07-14,true,false
438,Robić Moda Premium,Moda damska,Nortex,351.53,177.33,2024-12-11,true,false
448,Modlitwa Moda Premium,Moda damska,Vantex,329.82,159.84,2026-02-01,true,false
450,Dziób Moda Basic,Moda damska,Vantex,235.02,124.96,2024-09-14,true,false
454,Bo Moda Basic,Moda damska,Nordly,256.24,130.15,2025-12-26,true,false
460,Wkrótce Moda Eco,Moda damska,Vantex,382.99,226.07,2024-09-01,true,false
