"return_id","order_item_id","quantity_returned","return_date"
1,200,1,2026-08-19
2,726,1,2026-08-19
3,822,1,2026-08-19
4,1415,1,2026-08-19
5,1813,1,2026-08-19
6,2531,1,2026-08-19
7,2730,1,2026-08-19
8,3851,1,2026-08-19
9,3863,1,2026-08-19
10,3919,1,2026-08-19
11,3929,1,2026-08-19
12,4065,1,2026-08-19
13,4145,1,2026-08-19
14,4893,1,2026-08-19
15,5504,1,2026-08-19
16,5546,1,2026-08-19
17,5634,1,2026-08-19
18,5988,1,2026-08-19
19,6114,1,2026-08-19
20,6189,1,2026-08-19
21,6233,1,2026-08-19
22,6245,1,2026-08-19
23,6721,1,2026-08-19
24,7135,1,2026-08-19
25,7683,1,2026-08-19
26,8271,1,2026-08-19
27,9406,1,2026-08-19
28,9414,1,2026-08-19
29,9428,1,2026-08-19
30,9802,1,2026-08-19
31,10431,1,2026-08-19
32,10823,1,2026-08-19
33,11077,1,2026-08-19
34,11733,1,2026-08-19
35,12145,1,2026-08-19
36,12448,1,2026-08-19
37,12610,1,2026-08-19
38,12852,1,2026-08-19
39,13414,1,2026-08-19
40,13467,1,2026-08-19
41,13539,1,2026-08-19
42,13625,1,2026-08-19
43,14645,1,2026-08-19
44,15080,1,2026-08-19
45,15119,1,2026-08-19
46,15178,1,2026-08-19
47,15268,1,2026-08-19
48,15270,1,2026-08-19
49,15602,1,2026-08-19
50,15728,1,2026-08-19
51,15909,1,2026-08-19
52,16824,1,2026-08-19
53,17241,1,2026-08-19
54,17524,1,2026-08-19
55,17747,1,2026-08-19
56,17841,1,2026-08-19
57,17894,1,2026-08-19
58,18472,1,2026-08-19
59,18620,1,2026-08-19
60,20305,1,2026-08-19
61,21124,1,2026-08-19
62,21803,1,2026-08-19
63,22019,1,2026-08-19
64,22063,1,2026-08-19
65,22368,1,2026-08-19
66,22950,1,2026-08-19
67,24149,1,2026-08-19
68,24280,1,2026-08-19
69,24670,1,2026-08-19
70,24713,1,2026-08-19
71,25046,1,2026-08-19
72,25769,1,2026-08-19
73,26336,1,2026-08-19
74,26498,1,2026-08-19
75,26804,1,2026-08-19
76,27579,1,2026-08-19
77,27803,1,2026-08-19
78,28076,1,2026-08-19
79,28103,1,2026-08-19
80,29104,1,2026-08-19
81,29227,1,2026-08-19
82,29283,1,2026-08-19
83,29601,1,2026-08-19
84,29626,1,2026-08-19
85,29661,1,2026-08-19
86,30002,1,2026-08-19
87,30189,1,2026-08-19
88,30264,1,2026-08-19
89,30441,1,2026-08-19
90,30639,1,2026-08-19
91,31139,1,2026-08-19
92,31920,1,2026-08-19
93,32208,1,2026-08-19
94,33071,1,2026-08-19
95,33110,1,2026-08-19
96,33554,1,2026-08-19
97,33705,1,2026-08-19
98,34305,1,2026-08-19
99,34658,1,2026-08-19
100,35095,1,2026-08-19
101,35540,1,2026-08-19
102,35558,1,2026-08-19
103,36057,1,2026-08-19
104,36400,1,2026-08-19
105,36421,1,2026-08-19
106,36481,1,2026-08-19
107,36538,1,2026-08-19
108,36804,1,2026-08-19
109,36959,1,2026-08-19
110,37190,1,2026-08-19
111,37214,1,2026-08-19
112,37238,1,2026-08-19
113,37287,1,2026-08-19
114,38243,1,2026-08-19
115,38341,1,2026-08-19
116,38479,1,2026-08-19
117,38696,1,2026-08-19
118,38801,1,2026-08-19
119,39329,1,2026-08-19
120,39490,1,2026-08-19
121,40041,1,2026-08-19
122,40486,1,2026-08-19
123,41164,1,2026-08-19
124,41253,1,2026-08-19
125,41515,1,2026-08-19
126,42091,1,2026-08-19
127,42112,1,2026-08-19
128,42295,1,2026-08-19
129,42652,1,2026-08-19
130,42685,1,2026-08-19
131,42725,1,2026-08-19
132,43107,1,2026-08-19
133,43119,1,2026-08-19
134,43825,1,2026-08-19
135,44234,1,2026-08-19
136,44306,1,2026-08-19
137,44744,1,2026-08-19
138,45927,1,2026-08-19
139,46735,1,2026-08-19
140,46916,1,2026-08-19
141,47150,1,2026-08-19
142,47523,1,2026-08-19
143,47610,1,2026-08-19
144,47895,1,2026-08-19
145,48064,1,2026-08-19
146,48225,1,2026-08-19
147,48493,1,2026-08-19
148,49147,1,2026-08-19
149,49499,1,2026-08-19
150,49718,1,2026-08-19
