order_id,customer_id,order_date,order_status,payment_method,shipping_cost,total_amount,marketing_channel
1,387,2026-03-13,Processing,BLIK,0.0,865.4,Meta Ads
2,4446,2025-09-03,Delivered,Przelew,9.99,1351.57,Newsletter
3,3945,2025-08-12,Delivered,Za pobraniem,9.99,1099.7,Newsletter
4,1780,05.06.2026,Cancelled,,0.0,45.55,Meta Ads
5,4757,2026-05-03,Delivered,Karta,14.99,1814.59,Google Ads
6,2750,2026-03-26,Delivered,BLIK,0.0,1359.41,Influencer
7,2538,2025-03-09,Delivered,BLIK,9.99,1019.66,Organic
8,849,2025-10-17,Cancelled,Karta,9.99,1550.71,Meta Ads
9,4543,2024-12-12,Delivered,BLIK,12.99,452.69,Google Ads
10,3890,2025-07-15,Delivered,BLIK,9.99,2784.52,Meta Ads
11,1764,2025-08-01,Delivered,BLIK,0.0,232.81,Newsletter
12,4154,2026-04-26,Delivered,Przelew,9.99,254.5,Referral
13,4327,2026-05-04,Delivered,BLIK,12.99,574.03,Google Ads
14,2499,2025-06-16,Delivered,BLIK,0.0,1831.92,Newsletter
15,2954,2024-09-28,Shipped,Karta,0.0,336.1,Meta Ads
16,4080,2026-04-27,Delivered,Karta,9.99,2502.35,Newsletter
17,2083,2024-12-05,Delivered,BLIK,0.0,682.48,Organic
18,690,2025-11-30,Delivered,Karta,0.0,151.48,Meta Ads
19,739,2024-09-08,Delivered,BLIK,12.99,3997.1499999999996,Meta Ads
20,103,2025-05-31,Delivered,Karta,12.99,1228.64,Google Ads
21,2444,2026-08-06,Delivered,BLIK,9.99,1096.11,Meta Ads
22,3777,2024-11-02,Returned,PayPo,12.99,820.33,Organic
23,180,2025-06-04,Delivered,Za pobraniem,9.99,2224.6699999999996,Google Ads
24,3411,2025-03-23,Delivered,Karta,14.99,576.29,Meta Ads
25,805,2026-05-08,Shipped,Karta,0.0,962.78,Meta Ads
26,1793,2026-05-28,Delivered,BLIK,12.99,1844.94,Meta Ads
27,167,2025-01-07,Delivered,Karta,0.0,784.39,Meta Ads
28,1397,2024-10-13,Delivered,Karta,12.99,140.01,Google Ads
29,2782,2025-11-24,Delivered,PayPo,9.99,887.28,Organic
30,354,2025-04-14,Delivered,Karta,0.0,1925.23,Google Ads
31,1433,2025-12-03,Delivered,BLIK,14.99,834.89,Newsletter
32,2025,08.09.2024,Delivered,BLIK,0.0,2035.43,Meta Ads
33,4829,2024-11-23,Delivered,PayPo,14.99,1739.29,Meta Ads
34,495,2025-12-22,Delivered,BLIK,9.99,657.63,Meta Ads
35,369,26/12/2024,Delivered,Karta,0.0,2090.88,Newsletter
36,2694,2026-04-26,Returned,BLIK,14.99,788.65,Influencer
37,4455,2024-10-02,Delivered,BLIK,14.99,1328.08,Organic
38,4053,2024-12-18,Delivered,Karta,14.99,3825.8999999999996,Organic
39,4847,2026-08-04,Returned,Karta,0.0,603.39,Meta Ads
40,155,2025-06-28,Returned,BLIK,9.99,2347.9399999999996,Meta Ads
41,963,2025-12-16,Delivered,PayPo,0.0,1296.12,Meta Ads
42,1547,2024-12-19,Delivered,Przelew,9.99,1173.61,Newsletter
43,557,28/11/2025,Cancelled,,14.99,110.07,Organic
44,3291,2026-01-15,Returned,PayPo,0.0,5381.24,Organic
45,2933,2025-03-23,Delivered,Za pobraniem,0.0,948.64,Referral
46,736,2026-04-22,Delivered,PayPo,0.0,538.72,Google Ads
47,3838,2025-11-13,Cancelled,,12.99,6940.29,Meta Ads
48,3400,2025-05-28,Delivered,BLIK,14.99,688.8100000000001,Newsletter
49,2267,2025-10-12,Delivered,BLIK,9.99,127.72999999999999,Referral
50,4864,2025-10-24,Delivered,BLIK,12.99,910.19,Organic
51,4941,2024-12-12,Delivered,Przelew,0.0,275.75,Google Ads
52,1681,2025-05-21,Delivered,BLIK,9.99,2319.29,Organic
53,3428,2025-04-11,Delivered,Przelew,0.0,150.87,Meta Ads
54,4881,2025-05-02,Delivered,BLIK,9.99,402.2,Newsletter
55,3320,2026-02-16,Delivered,Za pobraniem,0.0,141.99,Newsletter
56,2407,2025-08-06,Delivered,BLIK,9.99,4076.4599999999996,Meta Ads
57,1749,2026-06-29,Shipped,Karta,9.99,2484.6699999999996,Meta Ads
58,2268,2025-03-11,Delivered,Przelew,0.0,1296.15,Newsletter
59,409,2025-06-04,Processing,PayPo,0.0,373.12,Organic
60,1143,28/03/2026,Shipped,BLIK,9.99,6778.8,Referral
61,3737,2025-10-30,Delivered,Karta,12.99,3597.0699999999997,Organic
62,2763,2025-10-30,Returned,PayPo,0.0,5186.26,Google Ads
63,2250,2024-10-10,Returned,Karta,0.0,503.06,Meta Ads
64,2176,2025-05-11,Delivered,Karta,14.99,2570.6099999999997,Newsletter
65,1853,2025-02-16,Delivered,Karta,14.99,2316.0,Organic
66,3206,2026-08-06,Processing,BLIK,0.0,435.81,Meta Ads
67,1774,2025-03-23,Delivered,Karta,9.99,4338.0,Organic
68,3817,2026-05-30,Returned,Karta,14.99,3707.85,Google Ads
69,4807,2025-12-12,Delivered,Karta,9.99,85.53999999999999,Meta Ads
70,1154,2025-04-24,Returned,BLIK,12.99,963.13,Meta Ads
71,475,2025-10-27,Delivered,BLIK,0.0,210.74,Referral
72,2608,2026-04-05,Returned,BLIK,0.0,312.66,Meta Ads
73,252,2026-05-13,Delivered,Przelew,0.0,40.83,Google Ads
74,1879,2024-12-16,Delivered,Karta,12.99,1378.0,Meta Ads
75,1402,2025-04-06,Delivered,BLIK,12.99,900.94,Meta Ads
76,3112,2025-04-15,Delivered,Karta,9.99,829.05,Organic
77,3056,2024-10-08,Returned,Karta,9.99,5435.09,Influencer
78,4466,2025-11-23,Delivered,BLIK,0.0,2277.18,Meta Ads
79,3244,2026-04-01,Delivered,BLIK,9.99,218.35000000000002,Meta Ads
80,1564,2025-05-07,Delivered,BLIK,9.99,1026.7,Meta Ads
81,4595,2026-01-12,Returned,Karta,9.99,724.84,Google Ads
82,1959,2025-11-29,Delivered,Za pobraniem,0.0,871.51,Influencer
83,3755,2025-05-26,Delivered,BLIK,14.99,1695.64,Meta Ads
84,2784,2024-11-16,Delivered,BLIK,14.99,3839.49,Meta Ads
85,1219,2025-12-01,Delivered,Przelew,0.0,611.97,Referral
86,4158,2026-04-24,Cancelled,,14.99,1248.22,Influencer
87,1509,2025-12-11,Shipped,Przelew,12.99,293.94,Google Ads
88,2856,2024-09-03,Delivered,PayPo,12.99,1682.7,Organic
89,3434,26/12/2024,Delivered,BLIK,0.0,1861.92,Newsletter
90,3363,2024-10-21,Delivered,BLIK,0.0,948.77,Organic
91,3054,2025-10-06,Processing,PayPo,14.99,3243.5699999999997,Organic
92,2957,2026-02-13,Delivered,BLIK,9.99,82.33999999999999,Google Ads
93,3642,2024-11-27,Returned,BLIK,14.99,1839.0,Meta Ads
94,1905,2026-04-23,Delivered,BLIK,0.0,1846.81,Meta Ads
95,3418,2025-10-06,Cancelled,Przelew,0.0,239.93,Influencer
96,855,2025-12-31,Delivered,Karta,9.99,2376.83,Google Ads
97,3672,2026-07-22,Cancelled,,14.99,380.32,Meta Ads
98,2181,2024-11-15,Delivered,BLIK,9.99,1752.65,Meta Ads
99,3196,2026-05-09,Delivered,BLIK,9.99,9.99,Google Ads
100,4069,2024-11-02,Processing,BLIK,14.99,2133.16,Organic
101,4305,2025-05-11,Delivered,BLIK,0.0,2958.0,Meta Ads
102,3119,2026-04-07,Delivered,BLIK,14.99,800.77,Newsletter
103,3302,2026-05-28,Delivered,BLIK,0.0,926.49,Organic
104,3163,03.09.2025,Shipped,BLIK,0.0,841.75,Newsletter
105,3987,2025-11-27,Delivered,BLIK,9.99,4179.65,Meta Ads
106,4826,2025-12-26,Delivered,Przelew,12.99,814.11,Meta Ads
107,4338,2026-04-21,Returned,BLIK,0.0,654.15,Organic
108,5144,2024-11-25,Delivered,PayPo,9.99,1148.97,Google Ads
109,4603,2026-03-10,Delivered,Karta,9.99,3292.1099999999997,Organic
110,2937,2025-08-26,Processing,BLIK,12.99,608.69,Google Ads
111,4131,2025-07-29,Returned,Karta,12.99,1516.29,Influencer
112,1951,2025-06-02,Delivered,BLIK,14.99,1910.13,Newsletter
113,4835,2025-09-07,Delivered,BLIK,0.0,388.38,Referral
114,3786,2026-07-26,Delivered,Karta,12.99,2299.8799999999997,Influencer
115,4646,2025-10-02,Shipped,BLIK,0.0,3156.92,Google Ads
116,4445,24/07/2026,Delivered,Karta,14.99,2746.58,Newsletter
117,2733,2024-12-04,Cancelled,,0.0,1135.08,Organic
