inventory_id,product_id,warehouse_location,stock_quantity,reorder_level,last_restock_date
1,1,B9,114,20,2024-11-25
2,2,C7,1192,214,2024-11-18
3,3,D11,885,159,2026-05-29
4,4,C1,0,12,2025-04-22
5,5,C6,132,23,2025-12-16
6,6,B1,993,178,2025-05-16
7,7,B10,2,5,2025-08-06
8,8,C6,605,108,2025-11-11
9,9,A6,1771,318,2025-06-17
10,10,B8,0,12,2024-11-01
11,11,C9,1417,255,2025-10-10
12,12,A2,3,5,2026-05-05
13,13,A9,0,17,2025-09-12
14,14,A1,117,21,2026-06-05
15,15,A6,584,105,2025-10-10
16,16, C5 ,1043,187,2025-12-06
17,17,C7,2,5,2025-03-05
18,18,C2,3,5,2025-06-03
19,19,C10,128,23,2025-11-06
20,20,A1,1420,255,2026-03-10
21,21,D7,56,10,2025-12-18
22,22,B12,589,106,2025-11-23
23,23,B10,70,12,2026-07-17
24,24,A3,1233,221,2024-10-14
25,25,D11,1,5,2026-05-17
26,26,D7,65,11,2025-06-17
27,27,A7,1597,287,2024-12-18
28,28,D8,177,31,2024-11-07
29,29,C9 ,3,5,2026-08-06
30,30,C10,131,23,2026-07-24
31,31,A5,143,25,2026-08-06
32,32,A8,1209,217,2025-11-02
33,33,C11,665,119,2025-09-13
34,34,C12,153,27,2025-12-19
35,35,B1,1978,356,2025-04-20
36,36,A5,0,21,2025-03-04
37,37,D2,128,23,2025-10-26
38,38,C5,2,5,2026-05-14
39,39,B11,168,30,2026-07-05
40,40,D7,200,36,2025-04-13
41,41,D6,3,5,2026-05-30
42,42,A6,162,29,2024-11-07
43,43,D4,1315,236,2024-11-13
44,44,D5 ,21,5,2026-07-13
45,45,A5,3,5,2026-06-26
46,46, D7 ,2,5,2024-11-11
47,47, A6 ,652,117,2026-06-02
48,48,A6,1823,328,2025-08-11
49,49,D4,14,5,2026-04-14
50,50,A6,954,171,2025-03-18
51,51,D3,0,21,2025-12-25
52,52,C3,150,27,2026-05-08
53,53,C3,826,148,2026-03-17
54,54,C4 ,118,21,2025-04-03
55,55,B3,1868,336,2024-10-17
56,56,D1,3,5,2026-04-14
57,57,C3,-2,5,2025-05-17
58,58,B3,1,5,2025-11-23
59,59,B6,86,15,2024-09-07
60,60,D9,58,10,2026-07-03
61,61,B8,724,130,2024-11-09
62,62,C5,2,5,2025-11-15
63,63,C11,0,12,2026-03-01
64,64,A11,732,131,2024-11-02
65,65,D2,0,28,2025-10-29
66,66,C7,-2,5,2026-07-16
